Fold,Model,ImageSize,BatchSize,LR,Epoch,TrainLoss,ValLoss,TrainAccuracy,ValAccuracy,TrainPrecision,ValPrecision,TrainRecall,ValRecall,TrainF1,ValF1,Timestamp,ModelPath
orFold2,resnet50,224,16,0.001,1,102.71997293829918,1.2890982376411557,0.777,0.9387755102040817,0.7775991866575096,0.9406228008444758,0.777,0.9387755102040817,0.776612533971405,0.9389369307044851,20251209_175514,../models/orFold2/resnet50_pretrained_png4ch_20251209_175514_img224_bs16_lr0.001.pth
orFold2,resnet50,224,16,0.001,2,57.127428920939565,3.7376208748501085,0.8783333333333333,0.673469387755102,0.8791625709824988,0.8363858363858364,0.8783333333333333,0.673469387755102,0.878340378509825,0.6692827848842886,20251209_175514,../models/orFold2/resnet50_pretrained_png4ch_20251209_175514_img224_bs16_lr0.001.pth
orFold2,resnet50,224,16,0.001,3,52.39988927543163,2.7915686857886612,0.8883333333333333,0.7959183673469388,0.888591453239517,0.7885410921125208,0.8883333333333333,0.7959183673469388,0.8883897272906172,0.755173114021728,20251209_175514,../models/orFold2/resnet50_pretrained_png4ch_20251209_175514_img224_bs16_lr0.001.pth
orFold2,resnet50,224,16,0.001,4,49.28101481497288,2.5596411414444447,0.8943333333333333,0.9795918367346939,0.893987088027218,0.9811616954474098,0.8943333333333333,0.9795918367346939,0.894107251856399,0.9798270494638534,20251209_175514,../models/orFold2/resnet50_pretrained_png4ch_20251209_175514_img224_bs16_lr0.001.pth
orFold2,resnet50,224,16,0.001,5,40.802396427839994,2.705002452195913,0.91,0.9795918367346939,0.9104390189721683,0.9811616954474098,0.91,0.9795918367346939,0.9099638925545029,0.9798270494638534,20251209_175514,../models/orFold2/resnet50_pretrained_png4ch_20251209_175514_img224_bs16_lr0.001.pth
orFold2,resnet50,224,16,0.001,6,39.43726437166333,6.32875984441489,0.9186666666666666,0.8979591836734694,0.9189266043200588,0.9279711884753902,0.9186666666666666,0.8979591836734694,0.9185629988166191,0.9021175868466509,20251209_175514,../models/orFold2/resnet50_pretrained_png4ch_20251209_175514_img224_bs16_lr0.001.pth
orFold2,resnet50,224,16,0.001,7,40.95493294112384,2.437670886516571,0.9146666666666666,0.9591836734693877,0.9148274276161243,0.9650145772594751,0.9146666666666666,0.9591836734693877,0.9145380410006849,0.9600498024143345,20251209_175514,../models/orFold2/resnet50_pretrained_png4ch_20251209_175514_img224_bs16_lr0.001.pth
orFold2,resnet50,224,16,0.001,8,37.21529013570398,1.6974408216774464,0.92,0.9795918367346939,0.9201433119132753,0.9811616954474098,0.92,0.9795918367346939,0.9199920197109013,0.9798270494638534,20251209_175514,../models/orFold2/resnet50_pretrained_png4ch_20251209_175514_img224_bs16_lr0.001.pth
orFold2,resnet50,224,16,0.001,9,31.44166535139084,3.15048217583535,0.9373333333333334,0.9183673469387755,0.9372737804766803,0.9331632653061225,0.9373333333333334,0.9183673469387755,0.937265275889579,0.919533527696793,20251209_175514,../models/orFold2/resnet50_pretrained_png4ch_20251209_175514_img224_bs16_lr0.001.pth
orFold2,resnet50,224,16,0.001,10,33.310659444890916,3.0853436151519418,0.9306666666666666,0.9591836734693877,0.9310519886277666,0.9650145772594751,0.9306666666666666,0.9591836734693877,0.9306785503555662,0.9600498024143345,20251209_175514,../models/orFold2/resnet50_pretrained_png4ch_20251209_175514_img224_bs16_lr0.001.pth
orFold2,resnet50,224,16,0.001,11,33.61099737556651,1.5850497838109732,0.928,0.9591836734693877,0.9280019875098061,0.9591836734693877,0.928,0.9591836734693877,0.9279483368679293,0.9591836734693877,20251209_175514,../models/orFold2/resnet50_pretrained_png4ch_20251209_175514_img224_bs16_lr0.001.pth
orFold2,resnet50,224,16,0.001,12,29.81854323949665,3.9914488546783105,0.9353333333333333,0.9795918367346939,0.9354063716488431,0.9811616954474098,0.9353333333333333,0.9795918367346939,0.9353399229895597,0.9798270494638534,20251209_175514,../models/orFold2/resnet50_pretrained_png4ch_20251209_175514_img224_bs16_lr0.001.pth
orFold2,resnet50,224,16,0.001,13,29.50234583276324,4.515004083254098,0.9356666666666666,0.9591836734693877,0.9356558321994044,0.9633045525902669,0.9356666666666666,0.9591836734693877,0.9356302705070894,0.9595683790757682,20251209_175514,../models/orFold2/resnet50_pretrained_png4ch_20251209_175514_img224_bs16_lr0.001.pth
orFold2,resnet50,224,16,0.001,14,28.324570412747562,2.736935657732829,0.937,0.9795918367346939,0.9371359309480455,0.9811616954474098,0.937,0.9795918367346939,0.9369671888639595,0.9798270494638534,20251209_175514,../models/orFold2/resnet50_pretrained_png4ch_20251209_175514_img224_bs16_lr0.001.pth
